OBJECTID,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted
26233,9C01020A5FF77508,2021/01/07 20:54:00+00,High,CD,OVERDOSE,P210072774,1800 PENNSYLVANIA AV,1800 PENNSYLVANIA AV BALTIMORE MD,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1403,NA,21217,TRUE,FALSE
26327,6301020A5FF7798A,2021/01/07 21:13:00+00,High,WD,OVERDOSE,P210072882,W NORTH AV/N WOODYEAR ST,W NORTH AV and N WOODYEAR ST BALTIMORE MD,Penn North,Western,733,7,D9,Greater Mondawmin,Census Tract 1501,Western,21217,TRUE,FALSE
26589,5901020A5FF78AD8,2021/01/07 22:27:00+00,High,ED,OVERDOSE,P210073163,2100 N WOLFE ST,2100 N WOLFE ST BALTIMORE MD,Darley Park,Eastern,342,12,D5,Clifton-Berea,Census Tract 805,Eastern1,21213,TRUE,FALSE
26640,6401020A5FF78ED8,2021/01/07 22:44:00+00,High,SE,OVERDOSE,P210073246,0 N CENTRAL AV,0 N CENTRAL AV BALTIMORE MD,Jonestown,Southeastern,211,12,D7,Harbor East/Little Italy,Census Tract 302,NA,21202,TRUE,FALSE
27258,5E01020A5FF7BEFD,2021/01/08 02:10:00+00,High,ED,OVERDOSE,P210073876,2700 E FEDERAL ST,2700 E FEDERAL ST BALTIMORE MD,Berea,Eastern,332,13,D5,Clifton-Berea,Census Tract 803.02,NA,21213,TRUE,FALSE
27788,5501020A5FF7EE67,2021/01/08 05:32:00+00,High,NW,OVERDOSE,P210080135,3900 W FOREST PARK AV,3900 W FOREST PARK AV BALTIMORE MD,Concerned Citizens Of Forest Park,Northwestern,642,6,D9,Forest Park/Walbrook,Census Tract 1509,NA,21207,TRUE,FALSE
29041,9C01020A5FF86D52,2021/01/08 14:32:59+00,High,SD,OVERDOSE,P210081463,400 S PARRISH ST,400 S PARRISH ST BALTIMORE MD,New Southwest/Mount Clare,Southern,935,9,D8,Southwest Baltimore,Census Tract 1902,NA,21223,TRUE,FALSE
29081,5A01020A5FF87032,2021/01/08 14:45:59+00,High,CD,OVERDOSE,P210081512,W LAFAYETTE AV/PENNSYLVANIA AV,W LAFAYETTE AV and PENNSYLVANIA AV BALTIMORE MD,Upton,Central,123,11,D8,Upton/Druid Heights,Census Tract 1703,Central,21217,TRUE,FALSE
29216,5901020A5FF87A1B,2021/01/08 15:27:59+00,High,NE,OVERDOSE,P210081654,6500 BLK PULASKI HY,6500 BLK PULASKI HY BALTIMORE MD,Pulaski Industrial Area,Northeastern,441,2,D6,Claremont/Armistead,Census Tract 2604.04,NA,21205,TRUE,FALSE
29611,5301020A5FF897FE,2021/01/08 17:35:00+00,High,CD,OVERDOSE,P210082076,300 W PRESTON ST,300 W PRESTON ST BALTIMORE MD,Madison Park,Central,132,11,D8,Upton/Druid Heights,Census Tract 1702,NA,21201,FALSE,FALSE
30091,5F01020A5FF8C0DB,2021/01/08 20:29:59+00,High,ND,OVERDOSE,P210082595,5600 LOTHIAN RD,5600 LOTHIAN RD BALTIMORE MD,Cameron Village,Northern,523,4,D2,Chinquapin Park/Belvedere,Census Tract 2708.05,NA,21212,TRUE,FALSE
30097,5901020A5FF8C11E,2021/01/08 20:31:00+00,High,WD,OVERDOSE,P210082584,2500 PENNSYLVANIA AV,2500 PENNSYLVANIA AV BALTIMORE MD,Penn North,Western,733,7,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,21217,TRUE,FALSE
