incident,date,location,county
P457,2022-06-25,HAGERSTOWN,Washington
P458,2022-06-25,HAGERSTOWN,Washington
P459,2022-06-25,HAGERSTOWN,Washington
P460,2022-06-26,HAGERSTOWN,Washington
P461,2022-06-26,HAGERSTOWN,Washington
P462,2022-06-26,MAUGANSVILLE,Washington
P463,2022-06-26,HAGERSTOWN,Washington
P464,2022-06-26,HAGERSTOWN,Washington
P465,2022-06-26,HALFWAY,Washington
P466,2022-06-27,MAUGANSVILLE,Washington
P467,2022-06-28,HAGERSTOWN,Washington
P468,2022-06-28,HAGERSTOWN,Washington
P469,2022-06-29,HAGERSTOWN,Washington
P470,2022-06-30,HAGERSTOWN,Washington
P471,2022-06-30,HAGERSTOWN,Washington
P472,2022-07-01,HAGERSTOWN,Washington
P473,2022-07-01,HAGERSTOWN,Washington
P474,2022-07-01,HAGERSTOWN,Washington
P475,2022-07-02,HAGERSTOWN,Washington
P476,2022-07-02,HAGERSTOWN,Washington
P477,2022-07-02,SMITHSBURG,Washington
P478,2022-07-02,HAGERSTOWN,Washington
P479,2022-07-02,CLEAR SPRING,Washington
P480,2022-07-03,HAGERSTOWN,Washington
P481,2022-07-03,HAGERSTOWN,Washington
P482,2022-07-03,CLEAR SPRING,Washington
P483,2022-07-04,HAGERSTOWN,Washington
P484,2022-07-04,HAGERSTOWN,Washington
P485,2022-07-04,HAGERSTOWN,Washington
P486,2022-07-04,HAGERSTOWN,Washington
P487,2022-07-05,HAGERSTOWN,Washington
P488,2022-07-05,HALFWAY,Washington
P489,2022-07-05,HAGERSTOWN,Washington
P490,2022-07-06,HAGERSTOWN,Washington
P491,2022-07-06,HAGERSTOWN,Washington
P492,2022-07-06,HAGERSTOWN,Washington
P493,2022-07-06,HAGERSTOWN,Washington
P494,2022-07-06,HALFWAY,Washington
P495,2022-07-07,HAGERSTOWN,Washington
P496,2022-07-07,HAGERSTOWN,Washington
P497,2022-07-07,HAGERSTOWN,Washington
P498,2022-07-08,FUNKSTOWN,Washington
P499,2022-07-08,HAGERSTOWN,Washington
P500,2022-07-08,HAGERSTOWN,Washington
P501,2022-07-08,HANCOCK,Washington
P502,2022-07-08,HAGERSTOWN,Washington
P503,2022-07-08,FUNKSTOWN,Washington
P504,2022-07-08,HAGERSTOWN,Washington
P505,2022-07-08,HAGERSTOWN,Washington
P506,2022-07-09,HAGERSTOWN,Washington
P507,2022-07-09,MAUGANSVILLE,Washington
P508,2022-07-09,MAUGANSVILLE,Washington
P509,2022-07-10,HAGERSTOWN,Washington
P510,2022-07-10,HAGERSTOWN,Washington
P511,2022-07-10,HAGERSTOWN,Washington
P512,2022-07-10,SHARPSBURG,Washington
P513,2022-07-10,HALFWAY,Washington
P514,2022-07-10,HAGERSTOWN,Washington
P515,2022-07-11,HAGERSTOWN,Washington
P516,2022-07-11,HAGERSTOWN,Washington
P517,2022-07-11,FAIRPLAY,Washington
P518,2022-07-11,HALFWAY,Washington
P519,2022-07-11,HAGERSTOWN,Washington
P520,2022-07-11,HAGERSTOWN,Washington
P521,2022-07-12,HAGERSTOWN,Washington
P522,2022-07-13,HAGERSTOWN,Washington
